# Code: cgiSensePlot.c v4.0 (sll - 13 February 2009 Build)
# from WWW Sensitivity Curve Generator located at:
#   http://www.srl.caltech.edu/~shane/sensitivity/MakeCurve.html
# EQUAL ARM Space Based Observatory Sensitivity Curve
# Polarization and All Sky Averaged
# 
# For this data file:
# SNR = 1.000000 
# Armlength = 2.500000e+09 	meters
# Optics diameter = 0.300000 	meters
# Wavelength = 1064.000000 	nanometers
# Laser power = 2.000000 Watts
# Optical train efficiency = 0.300000 
# Accleration noise = 3.000000e-15 m/(s^2 root Hz)
# Position noise = 1.000000e-11 m/(root Hz)
# Sensitivity Floor Set by Position Noise Budget
# Output Curve type is Root Spectral Density, per root Hz
# Astrophysical Noise is No White Dwarf Noise
#
#
#
# f [Hz] 	 hf [Hz^(-1/2)]
1.953007e-07    4.115269e-12
1.998512e-07    3.929997e-12
2.045077e-07    3.753070e-12
2.092727e-07    3.584104e-12
2.141488e-07    3.422744e-12
2.191385e-07    3.268650e-12
2.242444e-07    3.121494e-12
2.294693e-07    2.980965e-12
2.348160e-07    2.846757e-12
2.402872e-07    2.718595e-12
2.458859e-07    2.596202e-12
2.516150e-07    2.479322e-12
2.574776e-07    2.367701e-12
2.634769e-07    2.261105e-12
2.696159e-07    2.159309e-12
2.758979e-07    2.062097e-12
2.823264e-07    1.969259e-12
2.889046e-07    1.880603e-12
2.956360e-07    1.795938e-12
3.025243e-07    1.715084e-12
3.095731e-07    1.637870e-12
3.167862e-07    1.564132e-12
3.241673e-07    1.493714e-12
3.317203e-07    1.426467e-12
3.394495e-07    1.362246e-12
3.473587e-07    1.300917e-12
3.554520e-07    1.242350e-12
3.637341e-07    1.186418e-12
3.722092e-07    1.133005e-12
3.808816e-07    1.081997e-12
3.897561e-07    1.033285e-12
3.988375e-07    9.867654e-13
4.081304e-07    9.423409e-13
4.176398e-07    8.999161e-13
4.273709e-07    8.594012e-13
4.373287e-07    8.207103e-13
4.475184e-07    7.837618e-13
4.579455e-07    7.484767e-13
4.686158e-07    7.147795e-13
4.795345e-07    6.825998e-13
4.907077e-07    6.518688e-13
5.021411e-07    6.225214e-13
5.138410e-07    5.944951e-13
5.258135e-07    5.677307e-13
5.380650e-07    5.421712e-13
5.506018e-07    5.177626e-13
5.634308e-07    4.944527e-13
5.765589e-07    4.721920e-13
5.899927e-07    4.509336e-13
6.037395e-07    4.306324e-13
6.178066e-07    4.112452e-13
6.322015e-07    3.927307e-13
6.469318e-07    3.750497e-13
6.620052e-07    3.581649e-13
6.774301e-07    3.420400e-13
6.932140e-07    3.266414e-13
7.093660e-07    3.119357e-13
7.258941e-07    2.978923e-13
7.428076e-07    2.844810e-13
7.601150e-07    2.716735e-13
7.778256e-07    2.594426e-13
7.959489e-07    2.477624e-13
8.144946e-07    2.366080e-13
8.334723e-07    2.259558e-13
8.528923e-07    2.157831e-13
8.727645e-07    2.060685e-13
8.931000e-07    1.967912e-13
9.139092e-07    1.879316e-13
9.352033e-07    1.794708e-13
9.569935e-07    1.713910e-13
9.792915e-07    1.636748e-13
1.002109e-06    1.563061e-13
1.025458e-06    1.492691e-13
1.049351e-06    1.425490e-13
1.073801e-06    1.361313e-13
1.098821e-06    1.300026e-13
1.124423e-06    1.241499e-13
1.150622e-06    1.185606e-13
1.177432e-06    1.132229e-13
1.204866e-06    1.081256e-13
1.232939e-06    1.032577e-13
1.261667e-06    9.860897e-14
1.291064e-06    9.416955e-14
1.321146e-06    8.992998e-14
1.351928e-06    8.588130e-14
1.383428e-06    8.201489e-14
1.415662e-06    7.832254e-14
1.448647e-06    7.479641e-14
1.482400e-06    7.142904e-14
1.516940e-06    6.821326e-14
1.552285e-06    6.514228e-14
1.588453e-06    6.220954e-14
1.625464e-06    5.940883e-14
1.663337e-06    5.673422e-14
1.702093e-06    5.418001e-14
1.741752e-06    5.174081e-14
1.782335e-06    4.941141e-14
1.823863e-06    4.718689e-14
1.866359e-06    4.506251e-14
1.909845e-06    4.303377e-14
1.954345e-06    4.109637e-14
1.999881e-06    3.924621e-14
2.046478e-06    3.747933e-14
2.094161e-06    3.579200e-14
2.142956e-06    3.418057e-14
2.192885e-06    3.264179e-14
2.243981e-06    3.117221e-14
2.296265e-06    2.976883e-14
2.349767e-06    2.842865e-14
2.404517e-06    2.714876e-14
2.460543e-06    2.592651e-14
2.517873e-06    2.475929e-14
2.576540e-06    2.364461e-14
2.636573e-06    2.258012e-14
2.698005e-06    2.156356e-14
2.760868e-06    2.059276e-14
2.825197e-06    1.966565e-14
2.891025e-06    1.878029e-14
2.958385e-06    1.793480e-14
3.027315e-06    1.712736e-14
3.097853e-06    1.635627e-14
3.170032e-06    1.561991e-14
3.243894e-06    1.491669e-14
3.319476e-06    1.424514e-14
3.396820e-06    1.360382e-14
3.475967e-06    1.299136e-14
3.556956e-06    1.240649e-14
3.639834e-06    1.184794e-14
3.724642e-06    1.131454e-14
3.811425e-06    1.080516e-14
3.900231e-06    1.031870e-14
3.991108e-06    9.854144e-15
4.084100e-06    9.410511e-15
4.179259e-06    8.986844e-15
4.276637e-06    8.582249e-15
4.376282e-06    8.195875e-15
4.478249e-06    7.826893e-15
4.582593e-06    7.474521e-15
4.689368e-06    7.138012e-15
4.798630e-06    6.816656e-15
4.910438e-06    6.509768e-15
5.024851e-06    6.216695e-15
5.141930e-06    5.936816e-15
5.261736e-06    5.669538e-15
5.384335e-06    5.414292e-15
5.509789e-06    5.170540e-15
5.638169e-06    4.937757e-15
5.769537e-06    4.715458e-15
5.903967e-06    4.503167e-15
6.041531e-06    4.300430e-15
6.182299e-06    4.106822e-15
6.326346e-06    3.921932e-15
6.473750e-06    3.745364e-15
6.624587e-06    3.576747e-15
6.778940e-06    3.415720e-15
6.936889e-06    3.261943e-15
7.098519e-06    3.115088e-15
7.263915e-06    2.974845e-15
7.433164e-06    2.840916e-15
7.606356e-06    2.713017e-15
7.783585e-06    2.590875e-15
7.964942e-06    2.474233e-15
8.150526e-06    2.362841e-15
8.340433e-06    2.256465e-15
8.534765e-06    2.154878e-15
8.733625e-06    2.057865e-15
8.937119e-06    1.965218e-15
9.145354e-06    1.876743e-15
9.358440e-06    1.792251e-15
9.576492e-06    1.711563e-15
9.799623e-06    1.634508e-15
1.002796e-05    1.560922e-15
1.026161e-05    1.490648e-15
1.050070e-05    1.423538e-15
1.074537e-05    1.359450e-15
1.099573e-05    1.298247e-15
1.125194e-05    1.239799e-15
1.151411e-05    1.183983e-15
1.178238e-05    1.130679e-15
1.205691e-05    1.079776e-15
1.233784e-05    1.031164e-15
1.262531e-05    9.847401e-16
1.291948e-05    9.404065e-16
1.322051e-05    8.980689e-16
1.352854e-05    8.576374e-16
1.384376e-05    8.190262e-16
1.416632e-05    7.821532e-16
1.449639e-05    7.469404e-16
1.483416e-05    7.133126e-16
1.517980e-05    6.811989e-16
1.553348e-05    6.505311e-16
1.589541e-05    6.212439e-16
1.626578e-05    5.932752e-16
1.664477e-05    5.665655e-16
1.703259e-05    5.410585e-16
1.742945e-05    5.166998e-16
1.783556e-05    4.934377e-16
1.825113e-05    4.712229e-16
1.867638e-05    4.500082e-16
1.911155e-05    4.298258e-16
1.955685e-05    4.101898e-16
2.001251e-05    3.921050e-16
2.047880e-05    3.743645e-16
2.095596e-05    3.575259e-16
2.144424e-05    3.413308e-16
2.194387e-05    3.259805e-16
2.245517e-05    3.114245e-16
2.297838e-05    2.972189e-16
2.351378e-05    2.838599e-16
2.406165e-05    2.712117e-16
2.462228e-05    2.589264e-16
2.519599e-05    2.472612e-16
2.578305e-05    2.361342e-16
2.638380e-05    2.254588e-16
2.699854e-05    2.153595e-16
2.762760e-05    2.056270e-16
2.827133e-05    1.963753e-16
2.893006e-05    1.875182e-16
2.960412e-05    1.791081e-16
3.029390e-05    1.710155e-16
3.099973e-05    1.633423e-16
3.172204e-05    1.559872e-16
3.246116e-05    1.489379e-16
3.321751e-05    1.422554e-16
3.399148e-05    1.358437e-16
3.478347e-05    1.297325e-16
3.559393e-05    1.238898e-16
3.642327e-05    1.183100e-16
3.727194e-05    1.129913e-16
3.814036e-05    1.079063e-16
3.902903e-05    1.030470e-16
3.993841e-05    9.840595e-17
4.086898e-05    9.397523e-17
4.182122e-05    8.974510e-17
4.279566e-05    8.570478e-17
4.379280e-05    8.184773e-17
4.481318e-05    7.816299e-17
4.585732e-05    7.464493e-17
4.692580e-05    7.128412e-17
4.801916e-05    6.807445e-17
4.913800e-05    6.500795e-17
5.028294e-05    6.208181e-17
5.145453e-05    5.928775e-17
5.265342e-05    5.661770e-17
5.388024e-05    5.406862e-17
5.513564e-05    5.163463e-17
5.642030e-05    4.931000e-17
5.773490e-05    4.708949e-17
5.908011e-05    4.497017e-17
6.045668e-05    4.294520e-17
6.186534e-05    4.101202e-17
6.330680e-05    3.916540e-17
6.478183e-05    3.740212e-17
6.629126e-05    3.571849e-17
6.783584e-05    3.411020e-17
6.941641e-05    3.257478e-17
7.103382e-05    3.110826e-17
7.268891e-05    2.970760e-17
7.438256e-05    2.837021e-17
7.611567e-05    2.709302e-17
7.788918e-05    2.587329e-17
7.970398e-05    2.470844e-17
8.156109e-05    2.359605e-17
8.346146e-05    2.253371e-17
8.540612e-05    2.151927e-17
8.739608e-05    2.055043e-17
8.943241e-05    1.962524e-17
9.151618e-05    1.874173e-17
9.364851e-05    1.789795e-17
9.583052e-05    1.709218e-17
9.806338e-05    1.632267e-17
1.003482e-04    1.558785e-17
1.026864e-04    1.488604e-17
1.050790e-04    1.421588e-17
1.075273e-04    1.357586e-17
1.100327e-04    1.296466e-17
1.125964e-04    1.238100e-17
1.152199e-04    1.182360e-17
1.179046e-04    1.129129e-17
1.206517e-04    1.078295e-17
1.234629e-04    1.029749e-17
1.263396e-04    9.833892e-18
1.292833e-04    9.391166e-18
1.322956e-04    8.968368e-18
1.353781e-04    8.564605e-18
1.385324e-04    8.179024e-18
1.417602e-04    7.810798e-18
1.450632e-04    7.459150e-18
1.484432e-04    7.123337e-18
1.519019e-04    6.802639e-18
1.554413e-04    6.496379e-18
1.590630e-04    6.203909e-18
1.627692e-04    5.924605e-18
1.665617e-04    5.657876e-18
1.704426e-04    5.403155e-18
1.744139e-04    5.159902e-18
1.784778e-04    4.927599e-18
1.826363e-04    4.705756e-18
1.868917e-04    4.493900e-18
1.912464e-04    4.291579e-18
1.957023e-04    4.098376e-18
2.002621e-04    3.913864e-18
2.049283e-04    3.737657e-18
2.097031e-04    3.569387e-18
2.145891e-04    3.408692e-18
2.195891e-04    3.255229e-18
2.247055e-04    3.108678e-18
2.299412e-04    2.968722e-18
2.352989e-04    2.835069e-18
2.407814e-04    2.707432e-18
2.463915e-04    2.585544e-18
2.521324e-04    2.469143e-18
2.580071e-04    2.357981e-18
2.640188e-04    2.251822e-18
2.701704e-04    2.150445e-18
2.764653e-04    2.053632e-18
2.829070e-04    1.961177e-18
2.894987e-04    1.872885e-18
2.962440e-04    1.788567e-18
3.031465e-04    1.708047e-18
3.102098e-04    1.631151e-18
3.174378e-04    1.557716e-18
3.248339e-04    1.487590e-18
3.324026e-04    1.420619e-18
3.401477e-04    1.356663e-18
3.480731e-04    1.295588e-18
